CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend
12446,57,1,53,154.45
12447,243,1,8,45.6
12448,44,1,48,41.76
12449,22,4,162,324.53000000000003
12450,173,1,12,24.96
12451,10,5,515,896.4399999999999
12452,16,1,51,72.85
12453,134,1,22,33.9
12454,56,1,288,360.0
12455,73,5,447,363.22
12456,44,4,35,84.65
12457,86,3,26,70.5
12458,71,2,31,69.01
12461,154,1,18,87.9
12462,303,1,47,92.45
12463,53,4,66,98.86
12464,10,1,8,119.6
12465,17,2,64,60.839999999999996
12468,187,2,49,121.95000000000002
12471,2,25,658,1042.84
12472,32,8,426,592.5
12473,29,5,63,591.58
12474,17,17,378,457.55
12475,53,1,17,104.9
12476,1,12,291,732.63
12477,22,7,326,1032.42
12478,3,1,6,12.48
12479,11,1,12,15.0
12480,28,4,160,302.2
12481,22,9,398,738.7
12483,98,4,80,126.92
12484,32,5,214,638.33
12488,9,2,34,56.0
12490,5,9,313,443.4
12491,38,1,3,17.85
12492,63,1,1,18.0
12494,40,4,76,155.94
12497,81,1,200,84.0
12498,57,1,3,14.850000000000001
12500,23,6,216,257.15999999999997
12501,315,2,180,225.78
12502,95,5,45,333.35
12504,18,1,1,12.75
12506,232,1,2,5.4
12507,134,2,274,408.28
12508,29,1,20,10.4
12509,284,1,10,49.5
12510,325,1,12,76.19999999999999
12512,66,1,14,10.4
12513,112,1,62,99.0
12514,267,1,48,141.8
12515,353,1,4,51.0
12516,77,2,40,58.6
12517,28,5,123,222.58
12518,0,5,178,277.48
12520,79,4,118,207.26000000000002
12521,142,1,39,133.3
12522,39,2,22,52.5
12523,19,9,77,214.48000000000002
12524,63,7,481,573.26
12526,0,3,108,195.33999999999997
12528,9,4,45,105.65
12530,59,4,202,275.36
12531,14,1,12,20.5
12532,30,1,38,86.58000000000001
12534,130,1,108,225.66
12535,186,1,15,59.85
12536,7,2,284,390.87
12538,29,1,18,34.5
12539,22,4,227,578.59
12540,19,16,821,1673.16
12541,29,3,50,62.8
12544,36,1,26,41.0
12545,75,2,63,94.65
12546,46,2,94,168.6
12550,79,1,71,113.08999999999999
12551,357,1,10,16.5
12553,25,6,160,410.78
12556,50,2,40,59.5
12557,16,2,458,1340.5
12558,1,2,32,8.519999999999996
12560,5,2,118,167.98
12561,302,1,37,20.7
12562,8,6,177,404.28
12564,261,1,6,17.700000000000003
12565,288,1,12,19.799999999999997
12566,72,2,92,147.67
12567,22,11,425,1018.76
12569,8,13,103,213.98000000000002
12571,39,2,38,51.66
12572,8,2,90,205.92
12573,227,1,6,14.75
12574,315,1,18,30.299999999999997
12576,35,5,124,182.8
12577,35,3,24,59.97
12578,21,2,23,59.849999999999994
12579,78,1,10,8.5
12582,238,2,28,48.480000000000004
12583,2,9,295,550.73
12584,3,9,26,122.60000000000001
12585,234,2,136,230.11
12587,7,1,30,62.400000000000006
12589,28,2,62,79.24000000000001
12590,211,1,474,1103.5
12591,317,1,15,42.45
12594,121,4,180,220.3
12596,51,1,88,167.92000000000002
12597,32,4,178,273.11
12598,9,6,194,380.7
12599,164,3,68,99.18
12600,28,6,112,166.18
12601,189,2,15,49.5
12604,79,2,64,57.6
12605,365,1,-1,-1.65
12607,58,2,134,85.66999999999999
12609,78,3,82,153.78
12610,22,4,79,162.5
12611,52,1,60,106.19999999999999
12612,74,1,24,24.0
12613,57,4,114,239.4
12614,277,1,6,46.9
12615,2,3,82,144.78
12616,95,2,31,41.64999999999999
12617,29,1,15,19.95
12618,21,1,25,10.5
12619,16,6,424,324.44
12620,14,3,152,113.97999999999999
12621,1,16,680,1096.12
12623,276,1,37,20.7
12624,106,2,33,81.65
12625,211,2,231,222.18
12626,43,7,241,519.4499999999999
12627,10,7,184,370.6
12628,4,2,25,75.60000000000001
12630,9,1,24,77.7
12631,57,1,12,19.799999999999997
12633,58,4,250,447.6
12635,89,2,52,94.64
12637,67,7,264,498.46
12638,33,1,20,8.4
12639,238,1,15,145.2
12640,24,2,17,152.69
12641,115,1,7,55.3
12642,25,2,34,53.4
12643,128,3,248,560.88
12644,129,1,18,42.3
12645,33,4,76,133.66
12646,4,2,140,215.56
12647,22,6,77,268.03
12648,154,1,8,10.0
12649,107,2,60,56.94
12650,3,1,54,32.46
12652,331,1,58,98.10000000000001
12653,148,2,100,107.32
12654,10,4,21,74.6
12656,17,4,144,288.28000000000003
12657,11,4,36,105.84000000000002
12658,18,1,35,84.71000000000001
12660,11,1,24,39.599999999999994
12662,0,8,197,302.94
12664,16,4,152,616.58
12667,58,1,26,29.1
12668,7,5,161,344.81
12669,150,2,97,182.16
12670,10,5,180,368.4
12672,329,1,6,15.299999999999999
12673,5,2,72,89.16
12674,36,5,85,168.09
12676,190,3,43,106.3
12678,42,5,572,685.73
12679,58,2,88,142.52
12680,0,4,62,141.74
12681,14,21,750,1300.19
12682,3,20,500,944.2
12683,4,14,250,706.78
12684,7,5,196,211.48
12685,28,5,192,383.75
12686,371,1,24,10.08
12688,113,1,377,512.34
12689,25,2,86,206.94
12690,205,1,22,51.900000000000006
12691,58,3,70,131.5
12693,127,2,18,27.44
12694,70,2,70,89.53999999999999
12695,7,3,22,96.3
12697,28,3,47,154.05
12700,7,4,227,431.93
12701,79,2,53,57.940000000000005
12702,19,1,7,32.85
12703,71,1,23,57.5
12704,35,5,44,279.3
12705,15,9,375,621.6700000000001
12707,291,1,18,34.74
12708,32,10,87,204.25
12709,43,14,295,546.9
12710,96,3,75,81.3
12712,28,8,41,190.95
12713,0,1,75,153.6
12714,9,5,203,288.13
12715,106,1,20,41.8
12716,3,2,36,65.4
12717,151,2,75,117.81
12718,71,1,6,17.700000000000003
12719,5,3,27,29.150000000000002
12720,2,16,388,456.08
12721,31,6,160,227.87
12722,114,2,74,97.74
12723,3,4,68,123.36
12724,81,1,16,44.379999999999995
12725,371,1,22,57.5
12726,28,7,456,345.9
12727,10,6,200,544.84
12729,113,1,4,16.6
12731,23,10,708,1940.08
12732,179,1,8,33.2
12733,234,1,21,56.85
12735,315,2,22,100.9
12738,372,1,24,27.599999999999998
12739,99,1,14,34.900000000000006
12740,63,1,34,49.9
12743,134,2,36,46.79
12744,56,5,267,1014.8
12747,2,9,107,353.49
12748,0,138,2951,3319.69
12749,3,6,164,491.58
12750,128,1,4,33.5
12752,81,1,328,409.8
12753,3,9,1421,2691.16
12754,235,2,579,319.12
12755,277,2,0,-7.600000000000001
12756,86,1,24,20.4
12757,15,5,87,658.78
12758,116,2,211,269.08
12759,52,3,62,118.22
12762,7,2,204,248.6
12763,138,2,72,97.2
12764,316,1,6,35.7
12766,57,5,247,334.58
12769,238,1,6,35.7
12772,59,1,31,60.43
12775,189,1,36,45.0
12778,19,4,58,131.13
12779,37,8,211,453.66999999999996
12782,4,3,26,62.900000000000006
12783,2,4,104,311.64
12784,15,1,29,44.949999999999996
12785,364,1,2,56.0
12787,9,2,24,58.6
12790,192,1,10,30.700000000000003
12792,256,1,20,35.199999999999996
12793,334,2,50,82.5
12794,53,2,72,98.0
12797,365,1,1,28.0
12802,186,1,24,34.8
12809,177,1,56,82.0
12811,261,1,14,35.7
12812,44,1,20,25.0
12815,147,2,44,118.2
12816,95,2,13,27.15
12820,44,3,36,60.36000000000001
12822,70,2,88,112.84
12823,127,1,30,229.5
12824,59,1,40,40.76
12826,71,4,63,31.76
12827,44,1,3,14.850000000000001
12828,7,4,34,56.58
12829,336,2,182,115.3
12830,91,2,456,292.32000000000005
12833,145,1,20,46.84
12836,59,4,67,240.39000000000001
12838,33,2,33,48.7
12839,2,14,450,558.24
12840,143,4,110,157.7
12841,4,17,208,276.87
12842,70,2,80,192.48000000000002
12843,159,6,78,126.3
12844,29,2,13,40.33
12845,268,2,3,9.3
12847,22,1,113,73.03
12849,31,2,111,168.95
12851,96,1,5,6.37
12852,294,1,2,25.5
12853,134,3,106,173.0
12854,78,3,54,117.75999999999999
12856,7,6,102,231.52
12857,210,2,17,70.15
12865,26,2,86,112.06
12866,283,1,10,57.5
12867,26,7,431,383.5
12868,218,5,134,208.08
12872,326,2,16,32.05
12873,282,1,40,102.0
12876,57,2,172,112.2
12877,3,7,114,167.4
12878,18,3,33,52.65
12879,91,1,24,61.199999999999996
12881,275,1,2,12.7
12883,24,2,17,67.25
12884,88,1,3,17.85
12885,63,2,23,64.25
12886,67,3,104,194.84
12888,255,1,6,59.699999999999996
12890,24,1,55,41.4
12893,30,1,4,6.6
12901,8,8,1046,913.16
12904,18,2,24,32.04
12906,11,3,80,208.9
12908,176,1,600,432.0
12909,87,4,63,148.05
12910,64,2,84,59.879999999999995
12912,14,2,72,175.92000000000002
12915,372,1,7,32.45
12916,138,3,41,159.35
12919,16,5,106,167.1
12920,17,1,1,1.95
12921,9,30,830,1505.8700000000001
12922,161,1,12,7.800000000000001
12923,64,1,15,40.41
12925,4,2,26,55.599999999999994
12928,35,5,130,211.48000000000002
12929,311,1,3,17.85
12930,78,3,17,26.150000000000002
12931,30,6,2498,3192.62
12933,24,2,49,40.97
12935,2,5,177,227.78
12936,78,1,4,15.0
12937,15,4,52,73.91
12938,25,1,18,22.560000000000002
12939,79,4,504,1504.08
12940,54,2,12,29.6
12942,131,2,17,66.81
12944,35,2,10,30.299999999999997
12945,288,1,3,17.85
12947,143,5,179,170.72
12948,16,6,129,313.69
12949,30,5,164,289.15
12950,2,1,100,72.0
12951,319,2,36,27.84
12952,43,3,35,73.03
12953,9,1,18,41.1
12955,1,10,260,398.32
12956,306,1,3,4.949999999999999
12957,4,8,273,430.85
12962,113,1,2,25.5
12963,8,6,127,246.27
12965,89,1,20,53.5
12966,9,1,6,11.7
12967,371,1,18,275.1
12970,7,3,43,44.28
12971,17,26,772,1235.3600000000001
12976,211,1,104,160.0
12980,176,3,216,1489.68
12981,29,2,22,36.3
12982,239,2,19,29.35
12985,0,2,112,92.08
12987,191,2,3,17.05
12988,292,1,12,39.95
12989,8,5,176,364.58
12990,185,2,30,61.1
12991,23,2,31,33.0
12993,23,2,14,52.300000000000004
12994,4,3,26,77.1
12997,22,3,128,157.36
12999,205,2,14,35.7
13000,259,2,60,86.4
13001,4,11,569,941.35
13004,11,16,467,618.59
13005,173,2,48,179.7
13012,9,7,91,154.23000000000002
13013,1,9,130,236.14000000000001
13014,10,6,31,177.95000000000002
13015,53,3,194,596.61
13016,73,2,70,76.7
13018,16,17,426,708.69
13021,25,5,226,371.54
13023,64,2,34,64.3
13026,1,3,96,83.52
13027,157,2,960,384.0
13028,22,3,153,136.59
13029,138,1,10,16.5
13030,11,1,11,23.55
13032,52,2,17,14.85
13033,357,1,9,27.5
13034,369,1,8,13.52
13035,57,1,-3,-5.85
13037,138,3,61,111.55
13040,8,2,18,32.4
13044,291,1,16,81.6
13046,30,2,76,112.7
13047,56,7,138,262.37
13048,14,4,150,181.57999999999998
13050,14,17,326,627.9300000000001
13052,212,1,49,70.85
13055,78,2,156,214.95
13058,24,1,25,123.75
13060,253,1,6,30.9
13061,72,1,46,62.1
13062,191,1,9,43.5
13064,12,4,44,88.2
13065,373,1,4,23.8
13066,24,2,45,43.1
13067,82,1,2,9.9
13069,0,19,394,274.56
13070,192,1,10,20.8
13075,129,1,92,185.0
13077,1,3,40,68.43
13078,1,19,477,1358.65
13079,91,1,6,35.7
13081,11,14,1304,1936.0
13082,176,2,433,94.71
13083,75,1,24,24.839999999999996
13085,157,2,35,75.75
13089,2,64,2593,4776.12
13090,8,8,334,1388.84
13091,28,1,120,52.0
13092,70,2,27,47.25
13093,275,8,319,896.4399999999999
13094,21,2,144,152.64000000000001
13097,32,10,223,420.16
13098,1,23,1441,2364.61
13099,99,1,288,207.35999999999999
13101,234,1,1,2.95
13102,8,19,382,574.92
13104,3,3,84,220.68
13107,85,2,144,156.74
13108,372,1,48,20.16
13109,51,4,29,86.55000000000001
13110,31,6,35,126.4
13113,0,17,278,995.3299999999999
13115,58,4,146,195.61
13116,138,1,40,48.15
13117,21,5,81,60.17
13118,19,4,38,165.99
13121,269,1,15,20.849999999999998
13122,240,1,20,54.5
13124,89,3,247,449.59999999999997
13126,4,6,104,120.44
13127,77,1,10,8.5
13131,23,2,55,156.39999999999998
13134,85,4,89,95.48
13135,196,1,4300,3096.0
13136,50,5,125,302.45
13137,10,8,170,254.86
13138,80,3,12,49.8
13139,32,4,155,392.82
13140,108,3,23,62.56
13141,84,3,110,260.3
13142,19,1,61,53.709999999999994
13144,332,1,5,63.75
13146,26,1,30,19.28
13148,29,13,208,357.92
13149,14,3,58,143.86
13151,295,1,13,69.25
13154,144,1,-1,-611.86
13155,33,4,35,79.25
13157,49,3,142,158.94
13158,94,4,76,144.92000000000002
13159,50,3,65,93.85999999999999
13162,122,4,105,138.95
13165,46,2,208,144.24
13166,283,1,34,52.300000000000004
13167,18,4,51,51.51
13168,36,3,80,142.65
13170,26,1,28,19.6
13171,21,3,22,68.7
13173,4,2,33,37.7
13174,16,3,181,402.55
13176,46,1,95,113.99
13177,64,1,20,47.4
13178,26,10,368,547.78
13182,45,1,12,15.0
13183,86,6,277,482.23
13184,130,7,109,146.31
13186,39,2,42,112.44000000000001
13187,337,1,15,21.09
13189,18,1,84,38.28
13192,95,2,72,103.94
13193,61,1,4,10.780000000000001
13196,84,2,156,226.09
13198,10,6,259,330.44
13199,3,12,572,1033.74
13200,21,3,55,60.24
13203,9,3,37,65.50999999999999
13208,59,5,115,176.1
13209,30,8,473,586.96
13211,10,2,50,45.55
13212,19,3,37,97.42999999999999
13213,56,4,118,128.35999999999999
13216,267,1,5,10.5
13217,156,1,100,85.0
13218,127,1,12,19.799999999999997
13220,219,2,13,85.5
13221,240,2,14,79.1
13224,60,2,349,276.71
13225,196,2,164,559.8
13226,273,1,9,16.65
13228,81,1,100,179.0
13229,225,1,12,15.0
13230,4,12,167,256.45
13232,12,7,112,211.39
13233,74,1,96,62.48
13235,212,1,26,49.400000000000006
13236,24,3,24,72.60000000000001
13238,11,4,28,41.2
13239,261,1,120,78.47999999999999
13240,96,4,44,117.85
13242,112,1,10,20.8
13243,203,1,24,36.0
13244,92,1,7,13.45
13246,18,3,30,40.11
13247,17,2,15,57.150000000000006
13248,124,2,26,80.7
13249,93,1,1,8.25
13253,156,1,120,42.0
13255,3,2,9,14.549999999999997
13258,23,2,30,40.2
13259,61,1,8,10.51
13261,285,1,12,102.0
13262,263,1,18,61.2
13263,1,33,458,791.21
13265,53,1,50,48.44
13266,29,8,458,324.62
13267,2,8,79,208.25
13268,17,9,318,364.0
13269,1,12,477,586.17
13271,37,1,9,8.39
13273,113,1,6,24.900000000000002
13277,15,1,20,25.0
13278,40,1,33,32.25
13280,316,2,85,76.11
13282,18,2,24,54.96
13283,185,1,20,17.0
13285,23,4,188,188.12
13291,155,1,3,16.95
13292,38,1,12,24.96
13294,189,2,23,43.599999999999994
13295,359,1,12,19.799999999999997
13297,23,2,176,355.68
13298,1,1,24,90.0
13299,268,1,6,17.700000000000003
13300,164,2,17,26.549999999999997
13301,103,4,58,69.4
13304,351,1,68,52.92
13305,21,3,63,83.25
13308,22,3,58,117.54
13309,88,2,33,64.35
13310,28,4,63,86.95
13311,150,1,46,75.5
13313,35,3,70,140.6
13314,1,4,52,79.96000000000001
13316,37,5,161,183.46999999999997
13317,64,6,92,231.15
13318,1,1,48,85.92
13319,17,18,425,867.7900000000001
13320,70,4,87,112.2
13322,17,1,2,8.5
13324,36,4,752,885.12
13325,81,1,12,19.799999999999997
13327,38,6,111,307.68
13328,316,1,60,98.99999999999999
13329,31,2,54,171.54
13330,92,1,107,51.209999999999994
13332,14,1,9,30.5
13334,82,3,241,483.44
13336,77,1,72,110.7
13338,157,1,76,90.6
13339,200,1,2,15.9
13340,45,5,517,608.61
13341,260,1,32,112.8
13343,172,1,-1,-12.5
13344,67,3,39,149.25
13347,70,1,24,39.599999999999994
13348,64,1,12,19.799999999999997
13350,16,2,27,69.15
13351,66,1,3,14.850000000000001
13352,60,1,12,19.799999999999997
13354,71,1,70,53.1
13355,122,1,6,17.700000000000003
13356,80,1,12,9.959999999999999
13357,257,1,19,31.05
13358,268,1,51,24.689999999999998
13359,59,2,34,31.9
13362,9,4,59,220.75
13363,17,2,76,111.48
13364,66,1,-18,-24.9
13365,8,3,53,220.59
13368,256,1,50,73.3
13369,365,1,1,50.0
13370,366,2,19,73.25
13372,89,1,16,37.0
13373,60,3,196,389.4
13375,81,2,11,42.550000000000004
13376,99,2,30,65.1
13379,26,2,14,6.220000000000001
13381,31,6,152,273.04
13382,280,1,7,22.55
13384,30,6,97,235.95
13385,329,1,27,34.89
13388,131,1,11,86.35000000000001
13389,11,3,63,97.69
13390,74,1,24,118.80000000000001
13394,1,7,230,282.92
13395,185,1,30,65.7
13396,29,3,55,57.55
13397,72,4,84,216.36
13398,192,1,46,110.45000000000002
13402,372,1,28,32.239999999999995
13403,17,1,36,45.0
13404,1,2,16,66.44
13405,204,2,26,90.3
13408,3,30,1567,2345.0299999999997
13410,24,3,80,216.4
13411,107,1,4,6.6
13414,133,1,24,30.0
13416,81,1,4,19.8
13417,4,2,13,72.98
13418,11,12,392,467.44
13420,170,1,12,17.4
13421,40,2,45,66.42
13422,64,1,152,278.48
13425,108,2,26,83.25
13426,0,6,200,261.12
13427,19,2,61,45.66
13428,10,1,11,16.84
13429,10,3,210,226.82
13430,18,2,72,18.48
13431,67,2,46,159.9
13434,74,1,96,177.60000000000002
13435,24,4,88,77.96
13436,1,1,5,31.95
13437,14,6,118,289.84000000000003
13439,255,1,56,34.58
13441,91,1,24,39.599999999999994
13447,23,3,68,166.76000000000002
13448,16,4,98,164.16
13449,23,1,22,35.8
13450,89,5,183,262.2
13451,26,5,145,226.11
13453,165,1,4,35.8
13455,24,2,72,247.07999999999998
13456,17,5,54,130.2
13458,7,14,441,854.54
13460,29,2,50,21.0
13461,38,2,140,229.70000000000002
13462,252,1,4,19.8
13464,58,1,77,92.46000000000001
13466,184,1,6,17.700000000000003
13467,10,2,21,79.55000000000001
13468,1,13,185,323.25
13471,1,4,122,214.85
13473,332,1,24,10.08
13474,236,1,4,5.0
13475,191,4,164,191.32
13476,178,2,15,76.65
13477,37,4,76,145.44
13479,200,2,21,48.35
13481,45,4,149,207.24
13482,232,1,16,20.0
13483,65,1,36,40.2
13485,233,1,20,35.55
13486,78,3,106,152.22
13487,213,1,50,21.0
13488,43,11,397,934.13
13489,289,1,288,158.4
13491,51,5,61,97.5
13492,136,3,76,221.8
13494,311,1,15,26.85
13495,35,3,100,324.2
13496,10,2,40,84.0
13497,368,1,-4,-27.0
13499,17,2,68,60.32
13500,23,3,75,103.05
13501,288,1,47,76.94999999999999
13502,16,1,34,13.559999999999999
13503,71,1,12,10.2
13505,72,4,289,393.67999999999995
13506,316,2,28,45.0
13507,3,4,116,208.04
13509,254,2,144,147.6
13510,1,4,103,168.9
13515,72,4,66,98.30000000000001
13516,21,3,157,222.5
13517,59,3,117,194.38
13518,85,1,20,29.3
13519,78,1,2,23.9
13520,58,7,209,479.0
13521,1,3,60,78.67
13523,33,6,152,461.68
13524,173,2,22,80.9
13527,33,5,123,164.05
13529,78,2,16,94.9
13531,205,2,24,86.4
13532,33,1,2,5.03
13533,182,2,22,34.44
13534,2,20,234,388.89
13536,1,6,330,322.08
13538,120,2,20,147.0
13539,85,3,26,66.30000000000001
13544,39,2,21,52.0
13546,12,3,28,82.64
13548,96,2,20,39.44
13549,142,4,84,99.0
13552,66,11,154,381.19
13555,73,4,188,357.44
13557,28,2,61,43.5
13558,5,4,24,49.63
13560,7,1,7,18.490000000000002
13561,215,1,2,6.35
13562,81,3,152,276.52
13563,84,2,28,90.44
13564,354,2,104,157.1
13565,19,2,31,36.75
13566,40,2,25,53.95
13568,173,1,10,25.2
13569,17,1,14,29.36
13570,243,1,21,26.069999999999997
13571,12,12,123,183.68
13572,205,1,16,74.6
13573,50,1,192,23.04
13575,23,5,62,110.1
13576,10,9,311,718.95
13577,25,4,54,160.20000000000002
13579,14,2,29,117.75
13581,309,1,1,1.45
13583,155,1,112,136.84
13584,306,1,4,31.599999999999998
13587,63,1,24,99.60000000000001
13588,15,10,298,294.87
13589,14,2,9,44.75
13590,51,3,66,112.5
13591,64,3,84,115.58
13592,213,2,11,40.35
13593,108,4,89,147.01
13594,52,1,44,56.92
13596,5,2,38,72.35000000000001
13598,47,1,5,9.63
13599,8,13,235,425.12
13600,312,1,10,9.12
13601,45,2,56,77.28
13602,64,1,85,106.69
13603,26,1,4,3.32
13606,243,2,45,44.45
13607,40,1,15,43.69
13610,12,7,42,104.51
13611,89,3,87,83.23
13614,24,4,58,136.16
13615,318,1,39,89.01
13617,40,2,9,18.79
13618,173,1,34,46.5
13621,116,1,28,35.0
13623,30,4,37,39.93
13626,252,1,6,15.299999999999999
13627,79,4,128,105.2
13629,63,5,392,677.76
13630,245,2,24,43.75000000000001
13631,134,3,99,502.07000000000005
13632,24,6,54,128.46
13634,33,5,66,187.91
13635,67,1,72,144.54
13636,36,4,108,77.84
13637,52,3,38,60.800000000000004
13638,15,1,2,25.5
13639,74,1,58,136.02
13642,215,1,33,30.46
13643,31,1,45,62.7
13644,16,4,239,286.61
13647,9,3,54,115.7
13649,256,2,55,79.05
13650,16,6,134,192.34
13652,45,2,70,111.30000000000001
13654,43,5,144,213.43
13655,114,2,80,85.24000000000001
13656,337,1,2,3.9
13658,9,3,92,190.6
13659,205,2,74,89.54
13662,85,4,106,177.99
13663,179,1,4,33.0
13666,287,1,1,2.1
13667,149,1,9,6.13
13668,2,21,292,495.36
13670,75,1,28,37.4
13672,301,1,-12,-20.28
13673,18,2,12,24.77
13675,151,2,30,27.060000000000002
13678,151,1,188,25.32
13680,1,4,206,403.55
13681,17,4,75,151.0
13682,187,1,2,25.5
13684,285,1,3,5.0
13685,3,3,722,281.98
13686,182,1,10,8.5
13692,24,2,146,77.4
13694,3,30,6058,6909.48
13695,31,7,198,235.32
13697,38,1,25,10.5
13700,26,7,297,302.87
13704,5,7,146,234.06
13705,7,2,7,182.7
13706,302,1,39,48.45
13707,267,2,29,79.25
13708,271,1,5,7.9
13709,3,11,247,457.66
13710,31,1,24,4.5600000000000005
13711,218,2,34,46.050000000000004
13712,246,1,148,76.8
13715,338,2,39,80.0
13716,269,1,19,20.63
13717,32,6,183,132.39
13718,246,2,16,30.0
13719,33,3,30,59.34
13720,178,3,33,59.35
13721,36,1,22,34.5
13722,131,2,74,298.3
13723,217,1,5,49.75
13725,71,5,90,121.11999999999999
13726,38,2,64,48.12
13727,33,1,12,17.4
13728,36,4,64,68.4
13730,135,2,28,25.35
13731,246,1,12,15.0
13732,28,1,32,67.2
13735,24,6,129,470.09000000000003
13736,5,2,33,44.28
13737,200,1,23,51.169999999999995
13741,183,2,19,63.85
13742,16,9,139,291.73
13743,2,3,168,132.23999999999998
13744,95,2,96,74.28
13745,162,1,72,44.04
13748,95,3,58,148.7
13750,53,2,80,295.68
13752,208,3,123,150.56
13753,287,1,44,60.599999999999994
13754,151,2,72,67.2
13755,3,7,144,236.99
13756,2,8,277,514.23
13758,11,6,160,298.97
13759,71,1,8,13.52
13760,54,2,22,51.6
13761,50,2,16,38.0
13762,204,2,-136,-115.92
13763,63,1,48,60.0
13764,70,3,89,167.57
13767,2,29,781,1911.0700000000002
13769,2,7,75,172.07
13771,64,4,171,327.53
13772,33,3,33,60.269999999999996
13774,81,1,28,28.200000000000003
13777,0,17,1505,2295.47
13780,7,2,5,12.05
13781,250,1,1,7.95
13782,12,5,41,87.66
13784,9,2,108,68.4
13787,75,1,4,8.4
13790,4,1,144,47.76
13791,43,2,188,126.6
13798,1,26,2475,4068.83
13799,116,2,62,111.5
13800,309,1,18,63.5
13801,66,1,16,21.6
13802,138,3,360,457.12
13803,255,1,6,12.600000000000001
13804,30,4,73,178.55
13807,367,1,12,19.799999999999997
13808,5,4,80,208.82
13810,28,2,30,52.14
13811,183,2,24,217.5
13812,64,2,17,56.99
13813,39,4,79,210.63
13814,92,2,148,281.8
13815,23,3,600,463.0
13816,23,3,9,23.35
13817,29,2,26,44.46
13819,319,1,140,83.4
13821,144,2,18,54.4
13822,40,1,27,54.19
13823,18,2,104,117.15
13824,32,2,54,154.5
13826,158,1,-1,-4.9
13827,57,3,10,35.94
13831,87,2,10,77.8
13833,159,1,4,27.8
13835,52,1,16,20.8
13838,5,4,13,44.29
13842,58,8,164,235.78
13844,11,1,54,100.14
13846,24,3,31,47.050000000000004
13848,297,2,1100,370.0
13849,51,2,61,130.05
13850,129,1,116,251.78
13851,95,3,76,225.90000000000003
13853,57,1,36,94.2
13854,88,9,227,690.3299999999999
13856,168,2,136,102.6
13860,1,4,136,151.88
13862,18,6,203,248.84
13863,247,1,6,17.700000000000003
13865,186,2,7,25.35
13867,31,3,26,75.5
13868,38,1,42,72.06
13869,123,4,187,263.44
13870,2,7,112,186.73000000000002
13871,22,12,293,663.9200000000001
13873,304,1,-2,-7.9
13874,358,1,5,37.75
13875,53,4,64,100.9
13876,63,1,18,53.8
13878,54,1,30,109.5
13880,21,8,150,293.88
13881,3,11,796,734.4
13882,2,3,112,95.2
13883,1,6,139,191.82999999999998
13884,7,3,30,92.5
13885,189,2,17,44.25
13886,71,1,12,19.799999999999997
13887,204,1,14,53.300000000000004
13888,218,1,3,21.25
13889,92,1,7,39.85
13890,1,9,105,209.59
13892,52,3,422,132.82
13893,297,1,44,143.4
13894,22,3,30,62.400000000000006
13895,21,4,37,110.01
13897,50,1,28,39.0
13898,325,1,14,27.2
13899,274,1,4,51.0
13900,192,2,61,72.95
13901,72,4,292,421.0
13904,37,2,73,48.54
13908,79,4,304,362.15000000000003
13911,149,6,294,278.42
