InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Country,TotalSales
548652,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-01 13:34:00,1.25,United Kingdom,15.0
552528,22431,WATERING CAN BLUE ELEPHANT,3,2011-05-09 16:59:00,1.95,United Kingdom,5.85
579668,22573,STAR WOODEN CHRISTMAS DECORATION,12,2011-11-30 12:32:00,0.85,United Kingdom,10.2
537666,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,4,2010-12-07 18:36:00,3.36,United Kingdom,13.44
576837,22357,KINGS CHOICE BISCUIT TIN,15,2011-11-16 15:16:00,4.13,United Kingdom,61.949999999999996
551982,23283,DOORMAT VINTAGE LEAVES DESIGN ,1,2011-05-05 13:56:00,7.95,United Kingdom,7.95
576236,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-11-14 13:31:00,2.95,United Kingdom,2.95
543924,22095,LADS ONLY TISSUE BOX,1,2011-02-14 14:14:00,1.25,United Kingdom,1.25
542664,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-01-31 12:14:00,2.46,United Kingdom,2.46
562973,22561,WOODEN SCHOOL COLOURING SET,72,2011-08-11 11:42:00,1.45,EIRE,104.39999999999999
560996,23294,SET OF 6 SNACK LOAF BAKING CASES,3,2011-07-22 13:53:00,0.83,United Kingdom,2.4899999999999998
544924,22766,PHOTO FRAME CORNICE,8,2011-02-24 17:18:00,2.95,United Kingdom,23.6
537825,21039,RED RETROSPOT SHOPPING BAG,2,2010-12-08 14:36:00,2.55,United Kingdom,5.1
570410,22553,PLASTERS IN TIN SKULLS,2,2011-10-10 13:04:00,1.65,United Kingdom,3.3
561534,23162,REGENCY TEA STRAINER,4,2011-07-28 09:45:00,3.75,United Kingdom,15.0
576857,22457,NATURAL SLATE HEART CHALKBOARD ,2,2011-11-16 15:52:00,2.95,United Kingdom,5.9
562033,23171,REGENCY TEA PLATE GREEN ,12,2011-08-02 08:49:00,1.65,United Kingdom,19.799999999999997
538566,85066,CREAM SWEETHEART MINI CHEST,1,2010-12-13 11:21:00,25.49,United Kingdom,25.49
563076,22697,GREEN REGENCY TEACUP AND SAUCER,24,2011-08-11 16:12:00,2.55,Netherlands,61.199999999999996
543660,21175,GIN + TONIC DIET METAL SIGN,1,2011-02-11 10:40:00,4.96,United Kingdom,4.96
564489,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-08-25 14:13:00,2.08,United Kingdom,20.8
537200,22077,6 RIBBONS RUSTIC CHARM,2,2010-12-05 14:17:00,1.65,United Kingdom,3.3
566581,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-09-13 13:47:00,8.95,United Kingdom,17.9
580140,22424,ENAMEL BREAD BIN CREAM,1,2011-12-02 09:19:00,12.75,United Kingdom,12.75
579473,20982,12 PENCILS TALL TUBE SKULLS,12,2011-11-29 15:17:00,0.85,United Kingdom,10.2
561867,20725,LUNCH BAG RED RETROSPOT,2,2011-07-31 10:59:00,1.65,United Kingdom,3.3
544824,22685,FRENCH BLUE METAL DOOR SIGN 0,10,2011-02-24 09:32:00,1.25,United Kingdom,12.5
542928,22539,MINI JIGSAW DOLLY GIRL,24,2011-02-02 10:22:00,0.42,United Kingdom,10.08
540532,22840,ROUND CAKE TIN VINTAGE RED,2,2011-01-09 14:11:00,7.95,United Kingdom,15.9
545591,22381,TOY TIDY PINK POLKADOT,5,2011-03-04 10:28:00,2.1,United Kingdom,10.5
569460,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-10-04 11:33:00,1.45,United Kingdom,17.4
537738,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-08 11:02:00,1.95,United Kingdom,19.5
553539,22515,CHILDS GARDEN SPADE PINK,2,2011-05-17 15:27:00,0.0,United Kingdom,0.0
572320,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-10-24 08:48:00,1.69,United Kingdom,13.52
556829,23210,WHITE ROCKING HORSE HAND PAINTED,24,2011-06-15 10:51:00,1.25,Portugal,30.0
556578,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,2011-06-13 14:13:00,0.55,Germany,13.200000000000001
546786,85099B,JUMBO BAG RED RETROSPOT,10,2011-03-17 09:57:00,1.95,United Kingdom,19.5
545464,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1,2011-03-03 09:10:00,1.63,United Kingdom,1.63
578290,21903,MAN FLU METAL SIGN,12,2011-11-23 14:07:00,2.1,United Kingdom,25.200000000000003
564372,22024,RAINY LADIES BIRTHDAY CARD,12,2011-08-25 09:55:00,0.42,France,5.04
562417,22467,GUMBALL COAT RACK,1,2011-08-04 16:32:00,4.96,United Kingdom,4.96
557057,22653,BUTTON BOX ,10,2011-06-16 14:46:00,1.95,United Kingdom,19.5
549771,23052,RECYCLED ACAPULCO MAT TURQUOISE,1,2011-04-12 11:43:00,8.25,United Kingdom,8.25
580956,22917,HERB MARKER ROSEMARY,2,2011-12-06 14:23:00,0.65,United Kingdom,1.3
554275,22479,DAISY GARDEN MARKER,4,2011-05-23 13:17:00,1.25,United Kingdom,5.0
536841,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-02 18:27:00,1.65,United Kingdom,19.799999999999997
558420,20713,JUMBO BAG OWLS,4,2011-06-29 11:46:00,2.08,United Kingdom,8.32
573377,21877,HOME SWEET HOME MUG,6,2011-10-30 13:51:00,1.65,United Kingdom,9.899999999999999
563444,22115,METAL SIGN EMPIRE TEA,2,2011-08-16 13:50:00,0.79,United Kingdom,1.58
580553,20677,PINK POLKADOT BOWL,16,2011-12-05 10:14:00,1.25,USA,20.0
569523,23296,SET OF 6 TEA TIME BAKING CASES,4,2011-10-04 14:41:00,1.25,United Kingdom,5.0
572569,23493,VINTAGE DOILY TRAVEL SEWING KIT,1,2011-10-25 10:32:00,1.95,United Kingdom,1.95
547822,22467,GUMBALL COAT RACK,6,2011-03-25 14:53:00,2.55,Germany,15.299999999999999
566271,22780,LIGHT GARLAND BUTTERFILES PINK,4,2011-09-11 13:44:00,4.25,United Kingdom,17.0
568901,23132,SMALL IVORY HEART WALL ORGANISER,6,2011-09-29 13:22:00,5.75,United Kingdom,34.5
562846,47566,PARTY BUNTING,40,2011-08-10 09:29:00,10.79,United Kingdom,431.59999999999997
555728,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,2011-06-06 16:41:00,2.1,United Kingdom,2.1
575975,21811,HANGING HEART WITH BELL,96,2011-11-13 13:18:00,0.39,United Kingdom,37.44
545188,21980,PACK OF 12 RED RETROSPOT TISSUES ,4,2011-02-28 15:19:00,0.29,United Kingdom,1.16
539298,22427,ENAMEL FLOWER JUG CREAM,3,2010-12-16 17:29:00,5.95,United Kingdom,17.85
576256,22189,CREAM HEART CARD HOLDER,5,2011-11-14 14:09:00,3.95,United Kingdom,19.75
577050,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,2011-11-17 13:59:00,0.29,United Kingdom,6.959999999999999
554054,21718,RED METAL BEACH SPADE ,1,2011-05-20 15:29:00,2.46,United Kingdom,2.46
573418,22560,TRADITIONAL MODELLING CLAY,24,2011-10-31 09:35:00,1.25,United Kingdom,30.0
581219,23207,LUNCH BAG ALPHABET DESIGN,1,2011-12-08 09:28:00,4.13,United Kingdom,4.13
576617,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3,2011-11-15 16:57:00,5.79,United Kingdom,17.37
543660,22274,FELTCRAFT DOLL EMILY,1,2011-02-11 10:40:00,5.79,United Kingdom,5.79
554990,21932,SCANDINAVIAN PAISLEY PICNIC BAG,10,2011-05-29 13:57:00,1.65,United Kingdom,16.5
553035,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-05-12 20:13:00,3.29,United Kingdom,3.29
578702,23571,TRADITIONAL NAUGHTS & CROSSES,12,2011-11-25 10:58:00,1.65,United Kingdom,19.799999999999997
540458,21882,SKULLS TAPE,24,2011-01-07 12:28:00,0.19,Germany,4.5600000000000005
C541117,21258,VICTORIAN SEWING BOX LARGE,-3,2011-01-13 17:09:00,10.95,United Kingdom,-32.849999999999994
572475,23489,VINTAGE BELLS GARLAND,15,2011-10-24 13:37:00,2.89,United Kingdom,43.35
580729,21147,JINGLE BELLS TREE DECORATION,2,2011-12-05 17:24:00,1.63,United Kingdom,3.26
562283,22568,FELTCRAFT CUSHION OWL,4,2011-08-04 10:43:00,3.75,United Kingdom,15.0
553678,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,3,2011-05-18 13:00:00,2.55,United Kingdom,7.6499999999999995
565401,22366,DOORMAT AIRMAIL ,1,2011-09-02 17:38:00,8.25,United Kingdom,8.25
546389,22365,DOORMAT RESPECTABLE HOUSE,2,2011-03-11 13:56:00,7.95,United Kingdom,15.9
541280,22801,ANTIQUE GLASS PEDESTAL BOWL,4,2011-01-17 11:57:00,3.75,United Kingdom,15.0
578270,20725,LUNCH BAG RED RETROSPOT,5,2011-11-23 13:39:00,4.13,United Kingdom,20.65
562846,21239,PINK  POLKADOT CUP,6,2011-08-10 09:29:00,1.63,United Kingdom,9.78
538533,21215,IVORY PAPER CUP CAKE CASES ,4,2010-12-13 10:31:00,0.55,United Kingdom,2.2
542124,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,2011-01-25 14:45:00,8.5,United Kingdom,204.0
545587,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2011-03-04 09:46:00,0.55,United Kingdom,1.1
578125,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,240,2011-11-23 10:31:00,0.29,United Kingdom,69.6
543000,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-02-02 12:17:00,13.29,United Kingdom,13.29
540122,84926F,PSYCHEDELIC TILE COASTER,96,2011-01-05 10:39:00,0.42,United Kingdom,40.32
553008,22488,NATURAL SLATE RECTANGLE CHALKBOARD,5,2011-05-12 16:52:00,1.65,United Kingdom,8.25
547058,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2011-03-20 12:44:00,1.25,United Kingdom,15.0
568712,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-09-28 15:50:00,9.95,United Kingdom,9.95
570660,22950,36 DOILIES VINTAGE CHRISTMAS,144,2011-10-11 14:18:00,1.25,United Kingdom,180.0
562457,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-08-05 11:00:00,0.55,United Kingdom,13.200000000000001
549249,22432,WATERING CAN PINK BUNNY,6,2011-04-07 12:04:00,1.95,Belgium,11.7
546986,21843,RED RETROSPOT CAKE STAND,1,2011-03-18 12:55:00,10.95,United Kingdom,10.95
562733,22314,OFFICE MUG WARMER CHOC+BLUE,6,2011-08-09 10:20:00,2.95,United Kingdom,17.700000000000003
577615,23101,SILVER STARS TABLE DECORATION,12,2011-11-21 10:22:00,0.83,Germany,9.959999999999999
550130,85135C,RED DRAGONFLY HELICOPTER,1,2011-04-14 13:17:00,7.95,United Kingdom,7.95
569217,23067,HANGING ENGRAVED METAL HEART,4,2011-10-02 12:45:00,4.15,United Kingdom,16.6
559551,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-07-10 16:18:00,6.95,United Kingdom,13.9
574882,23313,VINTAGE CHRISTMAS BUNTING,3,2011-11-07 13:45:00,4.95,United Kingdom,14.850000000000001
572028,23209,LUNCH BAG VINTAGE DOILY ,10,2011-10-20 11:47:00,1.65,United Kingdom,16.5
565224,20726,LUNCH BAG WOODLAND,3,2011-09-01 19:11:00,1.65,United Kingdom,4.949999999999999
578844,20931,BLUE POT PLANT CANDLE ,1,2011-11-25 16:14:00,7.46,United Kingdom,7.46
564087,22452,MEASURING TAPE BABUSHKA PINK,12,2011-08-23 09:38:00,2.95,Hong Kong,35.400000000000006
542192,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-01-26 11:27:00,0.29,United Kingdom,13.919999999999998
578620,21787,RAIN PONCHO RETROSPOT,1,2011-11-24 15:21:00,0.85,United Kingdom,0.85
C539566,79000,MOROCCAN TEA GLASS,-3,2010-12-20 11:56:00,0.65,United Kingdom,-1.9500000000000002
562420,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2011-08-04 16:38:00,10.79,United Kingdom,10.79
581471,23151,ZINC SWEETHEART SOAP DISH,4,2011-12-08 19:29:00,0.79,United Kingdom,3.16
578045,23407,SET OF 2 TRAYS HOME SWEET HOME,1,2011-11-22 14:43:00,9.95,United Kingdom,9.95
571745,23340,VINTAGE CHRISTMAS CAKE FRILL,24,2011-10-19 10:48:00,1.65,EIRE,39.599999999999994
563071,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-08-11 15:43:00,0.95,United Kingdom,11.399999999999999
581433,23341,PINK DINER WALL CLOCK,2,2011-12-08 15:54:00,8.5,EIRE,17.0
540240,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-01-05 15:09:00,1.25,United Kingdom,15.0
541696,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-01-20 18:08:00,4.96,United Kingdom,4.96
542605,21034,REX CASH+CARRY JUMBO SHOPPER,10,2011-01-30 12:42:00,0.95,United Kingdom,9.5
564817,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,2011-08-30 12:02:00,3.29,United Kingdom,3.29
547385,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-03-22 15:48:00,4.13,United Kingdom,4.13
562851,47566,PARTY BUNTING,4,2011-08-10 10:09:00,4.95,United Kingdom,19.8
572323,23453,OVAL  MINI PORTRAIT FRAME,8,2011-10-24 09:46:00,1.95,United Kingdom,15.6
541104,90115,SUMMER BUTTERFLIES BAG CHARM,1,2011-01-13 14:29:00,2.46,United Kingdom,2.46
557484,22900,SET 2 TEA TOWELS I LOVE LONDON ,6,2011-06-20 14:36:00,3.25,United Kingdom,19.5
552291,48187,DOORMAT NEW ENGLAND,4,2011-05-08 14:00:00,7.95,United Kingdom,31.8
579196,22083,PAPER CHAIN KIT RETROSPOT,2,2011-11-28 15:54:00,5.79,United Kingdom,11.58
551270,22997,TRAVEL CARD WALLET UNION JACK,24,2011-04-27 12:35:00,0.42,United Kingdom,10.08
562264,22355,CHARLOTTE BAG SUKI DESIGN,1,2011-08-03 16:14:00,1.63,United Kingdom,1.63
568878,23200,JUMBO BAG PEARS,10,2011-09-29 12:34:00,2.08,United Kingdom,20.8
536876,22796,PHOTO FRAME 3 CLASSIC HANGING,1,2010-12-03 11:36:00,21.23,United Kingdom,21.23
564745,22099,CARAVAN SQUARE TISSUE BOX,1,2011-08-28 15:27:00,0.39,United Kingdom,0.39
575930,20712,JUMBO BAG WOODLAND ANIMALS,8,2011-11-11 17:58:00,4.13,United Kingdom,33.04
544445,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,3,2011-02-20 10:56:00,1.25,United Kingdom,3.75
552269,22917,HERB MARKER ROSEMARY,1,2011-05-08 11:52:00,0.65,United Kingdom,0.65
557878,22898,CHILDRENS APRON APPLES DESIGN,6,2011-06-23 13:13:00,1.95,United Kingdom,11.7
543250,22521,CHILDS GARDEN TROWEL PINK,12,2011-02-04 14:46:00,0.85,United Kingdom,10.2
566424,22383,LUNCH BAG SUKI DESIGN ,10,2011-09-12 14:15:00,1.65,United Kingdom,16.5
545154,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,12,2011-02-28 13:09:00,0.85,United Kingdom,10.2
538566,20866,BLUE ROSE FABRIC MIRROR,1,2010-12-13 11:21:00,2.51,United Kingdom,2.51
570964,22986,WRAP GINGHAM ROSE ,25,2011-10-13 11:50:00,0.42,Portugal,10.5
571065,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-10-13 14:59:00,1.45,Germany,17.4
564902,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-08-31 11:50:00,4.95,United Kingdom,29.700000000000003
578827,21220,SET/4 BADGES DOGS,1,2011-11-25 14:25:00,2.46,United Kingdom,2.46
546913,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2011-03-17 20:18:00,2.95,United Kingdom,2.95
538177,21481,FAWN BLUE HOT WATER BOTTLE,2,2010-12-10 09:51:00,5.91,United Kingdom,11.82
549559,21246,RED RETROSPOT BIG BOWL,6,2011-04-10 13:25:00,4.95,Belgium,29.700000000000003
574740,23316,RED REFECTORY CLOCK ,6,2011-11-06 16:07:00,9.95,Switzerland,59.699999999999996
563195,21955,DOORMAT UNION JACK GUNS AND ROSES,1,2011-08-12 16:36:00,15.79,United Kingdom,15.79
578675,23486,ANTIQUE HEART SHELF UNIT,2,2011-11-24 18:13:00,16.65,United Kingdom,33.3
567667,22982,PANTRY PASTRY BRUSH,1,2011-09-21 15:24:00,2.46,United Kingdom,2.46
564760,84913A,SOFT PINK ROSE TOWEL ,2,2011-08-30 10:47:00,3.29,United Kingdom,6.58
555558,10133,COLOURING PENCILS BROWN TUBE,10,2011-06-05 14:06:00,0.42,United Kingdom,4.2
579472,22196,SMALL HEART MEASURING SPOONS,1,2011-11-29 15:09:00,0.85,United Kingdom,0.85
570472,22193,RED DINER WALL CLOCK,1,2011-10-10 16:38:00,8.5,United Kingdom,8.5
546381,22356,CHARLOTTE BAG PINK POLKADOT,1,2011-03-11 12:29:00,0.85,United Kingdom,0.85
566577,20712,JUMBO BAG WOODLAND ANIMALS,12,2011-09-13 13:29:00,4.13,United Kingdom,49.56
564974,20869,GOLD FABRIC MIRROR,1,2011-08-31 15:32:00,2.46,United Kingdom,2.46
568228,22196,SMALL HEART MEASURING SPOONS,12,2011-09-26 11:02:00,0.85,United Kingdom,10.2
568586,21313,GLASS HEART T-LIGHT HOLDER ,12,2011-09-28 10:15:00,0.85,United Kingdom,10.2
554514,84913A,SOFT PINK ROSE TOWEL ,7,2011-05-24 15:58:00,3.29,United Kingdom,23.03
547910,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,2011-03-28 12:23:00,0.85,United Kingdom,1.7
578262,23582,VINTAGE DOILY JUMBO BAG RED ,2,2011-11-23 13:27:00,2.08,United Kingdom,4.16
541827,22280,POCKET BAG PINK PAISELY BROWN SPOT,7,2011-01-21 17:05:00,0.83,United Kingdom,5.81
555518,20725,LUNCH BAG RED RETROSPOT,10,2011-06-05 10:58:00,1.65,United Kingdom,16.5
548907,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,10,2011-04-05 08:25:00,12.75,United Kingdom,127.5
559504,23188,VINTAGE  2 METER FOLDING RULER,1,2011-07-08 15:16:00,1.65,United Kingdom,1.65
574591,23355,HOT WATER BOTTLE KEEP CALM,4,2011-11-06 10:47:00,4.95,United Kingdom,19.8
563439,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-08-16 13:05:00,8.29,United Kingdom,8.29
547860,84459A,PINK METAL CHICKEN HEART ,6,2011-03-27 12:21:00,1.49,United Kingdom,8.94
537666,22495,SET OF 2 ROUND TINS CAMEMBERT ,1,2010-12-07 18:36:00,5.91,United Kingdom,5.91
561217,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,2011-07-25 17:09:00,3.29,United Kingdom,3.29
564650,22846,BREAD BIN DINER STYLE RED ,8,2011-08-26 14:17:00,14.95,Netherlands,119.6
578485,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-11-24 12:52:00,1.25,United Kingdom,15.0
564372,23288,GREEN VINTAGE SPOT BEAKER,16,2011-08-25 09:55:00,0.85,France,13.6
557958,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,4,2011-06-23 19:27:00,2.55,United Kingdom,10.2
575366,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,2011-11-09 15:02:00,1.65,United Kingdom,19.799999999999997
565781,23170,REGENCY TEA PLATE ROSES ,24,2011-09-06 15:34:00,1.65,United Kingdom,39.599999999999994
537254,37482P,CUBIC MUG PINK POLKADOT,1,2010-12-06 11:01:00,2.55,United Kingdom,2.55
558105,21832,CHOCOLATE CALCULATOR,1,2011-06-26 14:54:00,1.65,United Kingdom,1.65
568135,23424,GINGHAM RECIPE BOOK BOX,1,2011-09-23 17:04:00,10.79,United Kingdom,10.79
577080,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-11-17 15:24:00,3.75,United Kingdom,15.0
556932,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,2011-06-15 15:41:00,1.63,United Kingdom,1.63
562114,22883,NUMBER TILE VINTAGE FONT 4,1,2011-08-02 16:14:00,4.13,United Kingdom,4.13
563936,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,4,2011-08-22 09:03:00,4.25,Malta,17.0
573876,22667,RECIPE BOX RETROSPOT ,3,2011-11-01 12:48:00,2.95,United Kingdom,8.850000000000001
553507,23130,MISTLETOE HEART WREATH GREEN,2,2011-05-17 13:35:00,4.15,United Kingdom,8.3
537603,22470,HEART OF WICKER LARGE,12,2010-12-07 12:49:00,2.95,United Kingdom,35.400000000000006
552285,22273,FELTCRAFT DOLL MOLLY,1,2011-05-08 12:58:00,2.95,United Kingdom,2.95
556121,22659,LUNCH BOX I LOVE LONDON,1,2011-06-09 10:09:00,1.95,United Kingdom,1.95
C579864,22120,WELCOME  WOODEN BLOCK LETTERS,-9,2011-11-30 16:37:00,9.95,Italy,-89.55
568135,22982,PANTRY PASTRY BRUSH,1,2011-09-23 17:04:00,2.46,United Kingdom,2.46
547386,22115,METAL SIGN EMPIRE TEA,1,2011-03-22 15:52:00,5.79,United Kingdom,5.79
545928,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2011-03-08 11:59:00,2.95,United Kingdom,29.5
574149,23394,POSTE FRANCE CUSHION COVER,4,2011-11-03 11:29:00,3.75,United Kingdom,15.0
566913,22893,MINI CAKE STAND T-LIGHT HOLDER,12,2011-09-15 14:07:00,0.42,United Kingdom,5.04
554992,21832,CHOCOLATE CALCULATOR,1,2011-05-29 14:08:00,1.65,United Kingdom,1.65
566018,84997C,CHILDRENS CUTLERY POLKADOT BLUE,1,2011-09-08 12:42:00,4.15,United Kingdom,4.15
576060,23084,RABBIT NIGHT LIGHT,5,2011-11-13 15:25:00,2.08,United Kingdom,10.4
561879,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-07-31 12:43:00,3.75,United Kingdom,15.0
553347,21621,VINTAGE UNION JACK BUNTING,4,2011-05-16 12:59:00,8.5,United Kingdom,34.0
568165,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,2011-09-25 12:42:00,4.15,United Kingdom,24.900000000000002
581002,22716,CARD CIRCUS PARADE,12,2011-12-07 08:21:00,0.42,United Kingdom,5.04
569216,23209,LUNCH BAG VINTAGE DOILY ,3,2011-10-02 12:41:00,1.65,United Kingdom,4.949999999999999
541497,22162,HEART GARLAND RUSTIC PADDED,1,2011-01-18 15:19:00,3.29,United Kingdom,3.29
548315,21832,CHOCOLATE CALCULATOR,12,2011-03-30 12:34:00,1.65,United Kingdom,19.799999999999997
541110,22717,CARD DOG AND BALL ,12,2011-01-13 15:11:00,0.42,United Kingdom,5.04
554281,23284,DOORMAT KEEP CALM AND COME IN,2,2011-05-23 13:41:00,7.95,United Kingdom,15.9
575073,22092,BLUE PAISLEY TISSUE BOX,3,2011-11-08 13:10:00,0.39,United Kingdom,1.17
544190,22994,TRAVEL CARD WALLET RETROSPOT,24,2011-02-16 16:56:00,0.42,United Kingdom,10.08
565732,22379,RECYCLING BAG RETROSPOT ,10,2011-09-06 12:10:00,2.1,United Kingdom,21.0
557271,21731,RED TOADSTOOL LED NIGHT LIGHT,6,2011-06-19 11:41:00,1.65,United Kingdom,9.899999999999999
570791,21804,WHITE CHRISTMAS GARLAND STARS TREES,1,2011-10-12 11:58:00,3.75,United Kingdom,3.75
558483,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-06-30 09:59:00,2.95,United Kingdom,17.700000000000003
567182,22383,LUNCH BAG SUKI DESIGN ,10,2011-09-18 15:21:00,1.65,United Kingdom,16.5
579470,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-11-29 15:06:00,4.25,United Kingdom,4.25
545910,84991,60 TEATIME FAIRY CAKE CASES,24,2011-03-08 10:04:00,0.55,United Kingdom,13.200000000000001
545978,21457,2 PICTURE BOOK EGGS EASTER DUCKS,6,2011-03-08 12:19:00,1.25,United Kingdom,7.5
558086,21745,GAOLERS KEYS DECORATIVE GARDEN ,6,2011-06-26 11:59:00,3.75,United Kingdom,22.5
559122,22123,PING MICROWAVE APRON,12,2011-07-06 12:22:00,1.95,United Kingdom,23.4
555260,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-06-01 15:34:00,1.65,United Kingdom,3.3
537852,21181,PLEASE ONE PERSON METAL SIGN,24,2010-12-08 15:56:00,2.1,United Kingdom,50.400000000000006
